Region,House,Sigil,Blazon,Seat,Words,Origin,Notes,Ancestral weapon
North,House Cassel,https://awoiaf.westeros.org/index.php/File:House_Cassel.svg,"Ten white wolf heads, 4-3-2-1, on grey with a black border",,,,,
Westerlands,House Casterly of Casterly Rock,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Casterly Rock,,Corlos,extinct sometime during Age of Heroes,
Reach,House Caswell of Bitterbridge,https://awoiaf.westeros.org/index.php/File:House_Caswell.svg,A yellow centaur with bow on white,Bitterbridge,,,,
Crownlands (Crackclaw Point),House Cave,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Crownlands (Dragonstone),House Celtigar of Claw Isle,https://awoiaf.westeros.org/index.php/File:House_Celtigar.svg,Red crabs strewn on white,Claw Isle,,,,Valyrian steel axe (reputed)
North,House Cerwyn of Castle Cerwyn,https://awoiaf.westeros.org/index.php/File:House_Cerwyn.svg,A black battle-axe on silver,Castle Cerwyn,Honed and Ready,,,
Riverlands,House Chambers,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Riverlands,House Charlton,https://awoiaf.westeros.org/index.php/File:House_Charlton.svg,"Three sprigs of mistletoe, green and red, on gold within a green border",,,,,
Crownlands,House Chelsted,https://awoiaf.westeros.org/index.php/File:House_Chelsted.svg,"Per bend green and white, a crossed spiked mace and a silver dagger",,,,,
Reach (Shield Islands),House Chester of Greenshield,https://awoiaf.westeros.org/index.php/File:House_Chester.svg,"A green hand on a gold escutcheon on a green field, a border of red rayonne",Greenshield,,,,
Crownlands,House Chyttering,https://awoiaf.westeros.org/index.php/File:House_Chyttering.svg,Three golden bendlets enhanced on white,,,,,
Westerlands,House Clegane of Clegane's Keep,https://awoiaf.westeros.org/index.php/File:House_Clegane.svg,Three black dogs running on yellow,Clegane's Keep,,Clegane,,
Westerlands,House Clifton,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Cobb,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Cockshaw,https://awoiaf.westeros.org/index.php/File:House_Cockshaw.svg,"Three feathers, red, white and gold, on black",,,,,
Iron Islands,House Codd,https://awoiaf.westeros.org/index.php/File:House_Codd.svg,... a silver codfish,,Though All Men Do Despise Us,,,
Vale of Arryn,House Coldwater of Coldwater Burn,https://awoiaf.westeros.org/index.php/File:House_Coldwater.svg,A blue pall with white borders on red,Coldwater Burn,,,,
Stormlands,House Cole,https://awoiaf.westeros.org/index.php/File:House_Cole.svg,Ten black pellets on scarlet,,,,,
North,House Condon,https://awoiaf.westeros.org/index.php/File:House_Condon.svg,"An eagle's head between crossed tridents, red on white",,,,,
Reach,House Conklyn,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Stormlands,House Connington of Griffin's Roost,https://awoiaf.westeros.org/index.php/File:House_Connington.svg,Two griffins combatent countercharged on red and white,Griffin's Roost,,,,
Vale of Arryn,House Corbray of Heart's Home,https://awoiaf.westeros.org/index.php/File:House_Corbray.svg,"Three black ravens in flight holding three red hearts, on white",Heart's Home,,Ser Corwyn Corbray,,Lady Forlorn (extant)
Reach,House Cordwayner of Hammerhal,https://awoiaf.westeros.org/index.php/File:House_Cordwayner.svg,Black boots on field of green and gold diamonds,Hammerhal,,,,
Reach,House Costayne of the Three Towers,https://awoiaf.westeros.org/index.php/File:House_Costayne.svg,"Quartered: a silver chalice on black, a black rose on yellow",Three Towers,,,,
Riverlands,House Cox of Saltpans,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Saltpans,,,,
Crownlands (Crackclaw Point),House Crabb of the Whispers,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Whispers,,,,
Westerlands,House Crakehall of Crakehall,https://awoiaf.westeros.org/index.php/File:House_Crakehall.svg,A black and white brindled boar on brown,Crakehall,None so Fierce,Crake the Boarkiller,,
Reach,House Crane of Red Lake,https://awoiaf.westeros.org/index.php/File:House_Crane.svg,A vee of golden cranes on pale blue,Red Lake,,Rose of Red Lake,,
North (Crannogmen),House Cray,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Crownlands,House Cressey,https://awoiaf.westeros.org/index.php/File:House_Cressey.svg,"Seven silver coins upon a red bend sinister, between two helmets, silver on blue",,,,,
North (Skagosi Clans),House Crowl of Deepdown,https://awoiaf.westeros.org/index.php/File:House_Crowl.svg,Pily flame and black,Deepdown,,,,
Unknown,House Cupps,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Cuy of Sunhouse,https://awoiaf.westeros.org/index.php/File:House_Cuy.svg,Six yellow flowers on blue,Sunhouse,,,,
Dorne,House Dalt of Lemonwood,https://awoiaf.westeros.org/index.php/File:House_Dalt.svg,Lemons strewn on purple,Lemonwood,,,,
Crownlands,House Dargood,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,Kin of Darklyn,,
Crownlands,House Darke,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,Kin of Darklyn,,
Crownlands,House Darklyn of Duskendale,https://awoiaf.westeros.org/index.php/File:House_Darklyn.svg,"Fusily black and gold, 7 white escutcheons upon a red tierce",Dun Fort,,Petty kings of Duskendale,extinct 277 AC,
Crownlands,House Darkwood,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,Kin of Darklyn,,
Riverlands,House Darry of Darry,https://awoiaf.westeros.org/index.php/File:House_Darry.svg,A black plowman on brown,Darry,,,,
Dorne,House Dayne of High Hermitage,https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,High Hermitage,,Cadet of Dayne of Starfall,,
Dorne,House Dayne,https://awoiaf.westeros.org/index.php/File:House_Dayne.svg,A white sword and falling star crossed on lilac,Starfall,,King of the Torrentine,,Dawn
Riverlands,House Deddings,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Westerlands,House Doggett,https://awoiaf.westeros.org/index.php/File:House_Doggett.svg,"Per bend a white unicorn on green, a black raven on white",,,,,
Stormlands (Marcher Lords),House Dondarrion of Blackhaven,https://awoiaf.westeros.org/index.php/File:House_Dondarrion.svg,Forked purple lightning on black field speckled with 4-pointed stars,Blackhaven,,A messenger of the Storm King,,
Vale of Arryn,House Donniger,https://awoiaf.westeros.org/index.php/File:House_Donniger.svg,A red sun rising from a grey-green sea against a yellow sky,,,,,
Dorne,House Drinkwater,https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,,
Westerlands,House Drox,https://awoiaf.westeros.org/index.php/File:House_Drox.svg,"3 black crossbows, on gold, a black border",,,,,
Iron Islands,House Drumm of Old Wyk,https://awoiaf.westeros.org/index.php/File:House_Drumm.svg,"A bone hand, white on red",Old Wyk,,Grey King,,Red Rain (extant)
Dorne,House Dryland of Hellgate Hall,https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,Hellgate Hall,,King of the Brimstone,extinct after Rhoynar migration,
Reach,House Dunn,https://awoiaf.westeros.org/index.php/File:Dunn.png,"Per pale black and pink, a countercharged two-headed pelican",,,,,
Stormlands,House Durrandon,https://awoiaf.westeros.org/index.php/File:House_Baratheon.svg,A crowned stag black on a golden field,Storm's End,Ours is the Fury,Durran Godsgrief,extinct 1 AC,
Reach,House Durwell,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
North,House Dustin of Barrowton,https://awoiaf.westeros.org/index.php/File:House_Dustin.svg,"Two rusted longaxes with black shafts crossed, a black crown between their points, on yellow",Barrow Hall,,First King,,
Crownlands,House Edgerton,https://awoiaf.westeros.org/index.php/File:House_Edgerton.svg,"Quartered: black and white half-fusily, a wheel of flame on indigo",,,,,
Vale of Arryn,House Egen,https://awoiaf.westeros.org/index.php/File:House_Egen.svg,"Yellow sun, white crescent moon, and silver star on blue chief above white",,By Day or Night,,,
Vale of Arryn,House Elesham of the Paps,https://awoiaf.westeros.org/index.php/File:House_Elesham.svg,"A double pile inverted, stone on pink, a black mullet between",Paps,,,,
Riverlands,House Erenford,https://awoiaf.westeros.org/index.php/File:House_Erenford.svg,"A golden heron, beaked and gammed black, standing with a silver fish in its beak, on pink",,,,,
Stormlands,House Errol of Haystack Hall,https://awoiaf.westeros.org/index.php/File:House_Errol.svg,A yellow haystack on orange,Haystack Hall,,,,
Stormlands,House Estermont of Greenstone,https://awoiaf.westeros.org/index.php/File:House_Estermont.svg,A dark green sea turtle on pale green,Greenstone,,,,
Westerlands,House Estren of Wyndhall,https://awoiaf.westeros.org/index.php/File:House_Estren.svg,A green saltire between four red double-headed eagles on white,Wyndhall,,,,
Westerlands,House Falwell,https://awoiaf.westeros.org/index.php/File:House_Falwell.svg,A fool in red and gold motley juggling five suns on black,,,,,
Westerlands,House Farman of Faircastle,https://awoiaf.westeros.org/index.php/File:House_Farman.svg,"Three silver ships on blue, a border of crimson and gold",Faircastle,The Wind Our Steed,,,
Crownlands,House Farring,https://awoiaf.westeros.org/index.php/File:House_Farring.svg,"Per pale purple and white, two knights combatant with swords, counter-charged",,,,,
Unknown,House Farrow,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Iron Islands,House Farwynd,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Sealskin Point,,Grey King,,
Iron Islands,House Farwynd of the Lonely Light,https://awoiaf.westeros.org/index.php/File:House_Farwynd_(Lonely_Light).svg,"Per fess: below a black sea with crested line, a black longship, outlined against the setting sun, dark red on orange",Lonely Light,,Cadet of Farwynd,,
Stormlands,House Fell of Felwood,https://awoiaf.westeros.org/index.php/File:House_Fell.svg,"Per fess, a white crescent moon in the first on black above a green field, a sprucetree line between",Felwood,,,,
North (Crannogmen),House Fenn,https://awoiaf.westeros.org/index.php/File:House_Fenn.svg,"3 black water lilies, on pale violet",,,,,
Westerlands,House Ferren,https://awoiaf.westeros.org/index.php/File:House_Ferren.svg,"Per saltire, red and gold checks, a silver and black ferret on green",,,,,
Riverlands,House Fisher of the Misty Isle,https://awoiaf.westeros.org/index.php/File:House_Fisher.svg,"A crowned catfish, spotted grey, on blue",Misty Isle,,,extinct,
North,House Fisher of the Stony Shore,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Stony Shore,,,possibly extinct,
North,House Flint of Breakstone Hill,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Breakstone Hill,,,possibly extinct,
North,House Flint of Flint's Finger,https://awoiaf.westeros.org/index.php/File:House_Flint_(Flint%27s_Finger).svg,A grey stone hand upon a white inverted pall on paly black and grey,Flint's Finger,,Cadet of Flint of the mountains,,
North (Mountain Clans),House Flint of the mountains,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Northern mountains,,,,
North,House Flint of Widow's Watch,https://awoiaf.westeros.org/index.php/File:House_Flint_(Widow%27s_Watch).svg,"A blue field strewn with whitecaps, on a yellow chief with crested line a pair of blue eyes",Widow's Watch,Ever Vigilant,Cadet of Flint of the mountains,,
Reach,House Florent of Brightwater Keep,https://awoiaf.westeros.org/index.php/File:House_Florent.svg,A red-gold fox's head encircled by lapis lazuli flowers (on ermine),Brightwater Keep,,Florys the Fox,,
Crownlands,House Follard,https://awoiaf.westeros.org/index.php/File:House_Follard.svg,"Gyronny of twelve red and white; in a gold canton, a two-peaked fool's cap of red and white with silver bells",,None so Wise,,,
Westerlands,House Foote,https://awoiaf.westeros.org/index.php/File:House_Foote.svg,A copper dagger across a black chevron on white,,,,,
Stormlands (Marcher Lords),House Foote of Nightsong,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Nightsong,,Philip Foote,,
Reach,House Footly of Tumbleton,https://awoiaf.westeros.org/index.php/File:House_Footly.svg,A field of silver caltrops on black,Tumbleton,Tread Lightly Here,,,
North (Wolfswood Clans),House Forrester,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Fossoway of Cider Hall,https://awoiaf.westeros.org/index.php/File:House_Fossoway.svg,A red apple on gold,Cider Hall,A Taste of Glory,Foss the Archer,,
Reach,House Fossoway of New Barrel,https://awoiaf.westeros.org/index.php/File:House_Fossoway_(New_Barrel).svg,A green apple on gold,New Barrel,,Ser Raymun Fossoway,,
Dorne,House Fowler of Skyreach,https://awoiaf.westeros.org/index.php/File:House_Fowler.svg,A hooded blue hawk on silver,Skyreach,Let Me Soar,King of Stone and Sky,,
Riverlands,House Frey of Riverrun,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Riverrun,,Emmon Frey,,
Riverlands,House Frey of the Crossing,https://awoiaf.westeros.org/index.php/File:House_Frey.svg,Two blue towers on silver-grey,Twins,,,,
North,House Frost,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,extinct before the Andal invasion,
Reach,House Gardener of Highgarden,https://awoiaf.westeros.org/index.php/File:House_Gardener.svg,A green hand on white,Highgarden,,Garth the Gardener,extinct 1 AC,
Dorne,House Gargalen of Salt Shore,https://awoiaf.westeros.org/index.php/File:House_Gargalen.svg,A red cockatrice with black snake in beak on gold,Salt Shore,,,,
Westerlands,House Garner,https://awoiaf.westeros.org/index.php/File:House_Garner.svg,Three grey owls upon white plates on green,,,,,
Crownlands,House Gaunt,https://awoiaf.westeros.org/index.php/File:House_Gaunt.svg,"Three black lances upright on pink, between black flaunches",,,,,
North,House Glover of Deepwood Motte,https://awoiaf.westeros.org/index.php/File:House_Glover.svg,A silver fist on scarlet,Deepwood Motte,,,,
Riverlands,House Goodbrook,https://awoiaf.westeros.org/index.php/File:House_Goodbrook.svg,A blue wavy bend on gold,,,,,
Iron Islands,House Goodbrother of Corpse Lake,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Corpse Lake,,Cadet of Goodbrother,,
Iron Islands,House Goodbrother of Crow Spike Keep,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Crow Spike Keep,,Cadet of Goodbrother,,
Iron Islands,House Goodbrother of Downdelving,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Downdelving,,Cadet of Goodbrother,,
Iron Islands,House Goodbrother of Orkmont,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Orkmont,,Cadet of Goodbrother,,
Iron Islands,House Goodbrother of Shatterstone,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Shatterstone,,Cadet of Goodbrother,,
Iron Islands,House Goodbrother,https://awoiaf.westeros.org/index.php/File:House_Goodbrother.svg,A gold-banded black warhorn on red,Hammerhorn,,Grey King's brother,,
Unknown,House Goode,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Stormlands,House Gower,https://awoiaf.westeros.org/index.php/File:House_Gower.svg,Nine yellow trefoils on a black cross on ermine,,,,,
Reach,House Graceford of Holyhall,https://awoiaf.westeros.org/index.php/File:House_Graceford.svg,The Mother's face upon white pale wavy dividing a brown field,Holyhall,Work Her Will,,,
Vale of Arryn,House Grafton of Gulltown,https://awoiaf.westeros.org/index.php/File:House_Grafton.svg,"A burning tower in yellow, within a black pile, upon flaming red",Gulltown,,Ser Gerold Grafton,,
Stormlands,House Grandison of Grandview,https://awoiaf.westeros.org/index.php/File:House_Grandison.svg,A black sleeping lion on yellow,Grandview,Rouse Me Not,,,
Reach,House Graves,https://awoiaf.westeros.org/index.php/File:House_Graves.svg,"Green and white gyronny, a double-headed eagle counter-charged, gold beak and talons",,,,,
Westerlands,House Greenfield of Greenfield,https://awoiaf.westeros.org/index.php/File:House_Greenfield.svg,A double tressure white on green,Greenfield,,,,
North (Crannogmen),House Greengood,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Unknown,House Greenhill,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
North,House Greenwood,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,extinct before the Andal invasion,
Riverlands,House Grell,https://awoiaf.westeros.org/index.php/File:House_Grell.svg,"Three red martlets on white bend, on blue",,,,,
Riverlands,House Grey,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Iron Islands,House Greyiron of Orkmont,https://awoiaf.westeros.org/index.php/File:Greyiron.png,"The sea king's head, white with dark green seaweed beard and hair, a black crown on a grey field",Orkmont,,Grey King,extinct after Andal invasion,
Iron Islands,House Greyjoy of Pyke,https://awoiaf.westeros.org/index.php/File:House_Greyjoy.svg,A golden kraken on black,Pyke,We Do Not Sow,Grey King,,
North,House Greystark of the Wolf's Den,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Wolf's Den,,Cadet of Stark,extinct,
Reach (Shield Islands),House Grimm of Greyshield,https://awoiaf.westeros.org/index.php/File:House_Grimm.svg,An iron escutcheon with silver studs on a grey-green field strewn with longships proper,Grimston,,,,
Unknown,House Groves,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Riverlands,House Haigh,https://awoiaf.westeros.org/index.php/File:House_Haigh.svg,A black pitchfork on a golden bar sinister on russet,,,,,
Westerlands,House Hamell,https://awoiaf.westeros.org/index.php/File:House_Hamell.svg,"An erminois maunch on pink, an erminois border",,,,,
North (Mountain Clans),House Harclay,https://awoiaf.westeros.org/index.php/File:House_Harclay.svg,"3 blue moons, waxing, full, waning, on a white bend, on blue",,,,,
Crownlands (Crackclaw Point),House Hardy,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Vale of Arryn,House Hardyng,https://awoiaf.westeros.org/index.php/File:House_Hardyng.svg,A field of red and white diamonds,,,,,
Iron Islands (Shield Islands),House Harlaw of Grey Garden,https://awoiaf.westeros.org/index.php/File:House_Harlaw_(Grey_Garden).svg,"Quartered: a silver scythe on black, a peacock on cream",Grey Garden & Greyshield,,Cadet of Harlaw,,
Iron Islands,House Harlaw of Harlaw Hall,https://awoiaf.westeros.org/index.php/File:House_Harlaw_(Harlaw_Hall).svg,"Per bend black and silver, two scythes countercharged",Harlaw Hall,,Cadet of Harlaw,,
Iron Islands,House Harlaw of Harridan Hill,https://awoiaf.westeros.org/index.php/File:House_Harlaw_(Harridan_Hill).svg,A silver scythe on pale blue,Harridan Hill,,Cadet of Harlaw,,
Iron Islands,House Harlaw,https://awoiaf.westeros.org/index.php/File:House_Harlaw.svg,A silver scythe on black,Ten Towers,,Grey King,,Nightfall (extant)
Iron Islands,House Harlaw of the Tower of Glimmering,https://awoiaf.westeros.org/index.php/File:House_Harlaw_(Tower_of_Glimmering).svg,A silver scythe on black within an embattled silver border,Tower of Glimmering,,Cadet of Harlaw,,
